head	rel	tail
24032	5	6548
8914	70	21556
17253	39	8593
10282	25	384
1612	33	24275
8911	33	24275
23743	103	3709
12286	110	24762
27367	53	7678
22193	66	1091
10683	48	4184
2617	118	3464
83	36	26516
21070	110	17270
3411	95	26994
17714	54	7580
9774	102	26827
26874	119	23012
17272	28	2720
19973	25	101
21972	49	15249
13693	71	2111
26438	70	11651
387	23	5855
23428	124	22718
21336	4	18767
27490	95	8584
25681	124	2393
16307	62	2393
21076	28	22596
14102	85	16893
24123	95	21366
21654	31	10721
10963	16	23866
4514	83	13452
22323	102	7098
16424	70	13249
18068	33	24275
13187	33	24275
5849	49	15249
12572	66	6039
9298	115	22468
9311	115	22468
19351	5	6548
9830	7	24375
18313	70	7367
3977	4	18767
22519	118	3464
24515	3	23029
8932	49	16893
26674	118	5998
20360	33	24275
5556	13	10551
17040	129	12456
19976	1	21181
6054	127	9852
10088	69	18656
21153	70	3476
4045	7	4842
21129	93	24502
15354	33	24275
12962	93	6630
5608	57	2895
17976	33	24275
23247	16	11124
6787	39	12827
24218	16	11124
6237	5	9521
14589	16	5147
19056	119	22524
11587	128	3729
17727	93	21023
4858	72	13307
4774	33	24275
22518	5	6548
20064	70	7367
19016	16	11124
14538	5	6548
11146	48	4184
10526	53	21366
7679	27	13143
4901	53	24370
23702	3	23029
25425	48	9326
25470	70	7367
22134	119	10246
22449	128	13667
8149	106	22468
12637	102	2111
7425	118	2515
15176	36	17880
11396	52	27034
19239	85	16893
10855	131	7210
11203	102	7098
15298	48	5250
7798	62	19303
8664	28	6891
9689	39	24208
15883	120	2111
18469	129	12456
19737	129	12456
25104	33	24275
19188	53	2846
7966	103	3709
24328	36	1943
24377	110	25454
9968	3	15249
934	28	17801
24221	23	26827
7296	85	11214
9465	3	13735
7492	33	24275
26465	93	24502
4082	5	19835
421	70	27775
3032	33	24275
10326	102	7098
16488	93	24502
1221	120	2111
6798	93	21023
21187	118	3464
5249	49	15249
6252	61	11541
21416	16	12413
7848	120	20931
15570	85	11214
27624	3	11214
14469	109	13579
1294	119	23012
832	95	4320
24352	70	5930
17149	76	22468
5669	51	20747
20381	39	12827
20064	36	12456
20451	5	20004
12187	6	14953
543	70	11862
12856	62	15672
9607	135	22468
22173	5	20004
8822	5	9521
17459	118	17880
21284	103	3709
18975	124	15672
4130	119	15
20222	70	16823
1074	5	19835
3320	48	330
6276	62	17986
14233	33	24275
21892	70	21973
3967	5	9521
3236	48	1999
27867	5	6548
15263	95	13667
22171	117	19005
4268	93	24502
5584	3	8655
7871	62	15672
581	115	22468
11553	120	2111
27187	110	13620
21294	85	19536
1579	124	10229
26348	111	20084
27041	62	2393
15228	16	11124
18515	49	3817
21192	95	8002
11200	53	21366
4690	70	1227
8789	53	21366
23925	70	13249
21558	36	17880
26887	51	20747
19593	90	20114
18432	25	5197
10471	93	21023
16503	121	24232
1975	124	19303
19924	108	17247
16991	95	7678
8062	77	1943
3174	63	9966
22294	25	101
23948	124	8198
23434	33	17785
17952	23	5855
3901	124	13418
19016	97	11993
9696	33	24275
25198	39	24208
23221	5	18594
11574	70	1227
11117	83	14781
1022	128	13667
24096	70	22451
19322	95	1147
17644	62	2393
12087	102	5855
8730	53	2412
11017	33	17785
26191	28	14703
458	70	13394
2626	124	8198
13504	115	22468
875	66	12413
21869	131	12456
4064	120	2111
26636	33	17785
8453	61	16535
18032	51	20747
14736	28	15524
26595	4	18767
27548	25	78
7301	106	24185
4935	83	19811
25807	83	5163
25865	3	15249
16127	93	21023
18734	94	17877
12503	23	26827
1146	115	22468
26015	23	5855
23060	61	6195
27531	77	3368
923	61	27775
23656	119	10246
7056	124	16025
10030	115	22468
27661	85	13735
11584	3	11214
2300	106	22468
5001	120	2111
24258	115	22468
13083	95	4581
6021	119	221
16172	36	26410
9129	115	22468
22661	115	22468
23110	33	24275
3806	46	24185
6809	25	27044
11171	70	16823
3757	115	22468
12544	23	2111
3428	103	3709
9053	115	22468
5354	131	12456
15046	68	9150
10089	5	9521
20807	93	24502
5958	115	22468
10464	62	2393
21292	35	20890
10422	111	5547
14907	16	11124
18484	70	15505
24149	124	2393
23524	25	24981
26810	16	11124
15959	16	11124
12819	95	22650
3337	33	24275
25634	28	15524
4439	33	24275
303	33	24275
17704	84	794
5085	70	7367
15412	16	11124
20946	111	8452
19714	11	22468
14516	36	2846
8224	111	18656
4745	5	9521
3871	120	2111
3936	33	24275
27406	3	4096
12021	33	24275
6886	103	3709
13779	70	12145
5248	5	19835
13944	16	11124
189	95	11195
10715	95	2412
15929	124	25328
24282	19	7432
24299	131	4184
17146	103	3709
5713	135	22468
40	85	15249
14815	91	2015
13400	120	2111
14366	16	11124
16882	124	16772
25325	33	24275
24679	124	2393
3077	5	9521
7230	48	4184
24723	129	14319
1718	70	5366
16812	53	1559
7959	36	17880
11316	124	16025
18812	115	22468
12780	71	2111
8882	46	17996
26343	118	3464
26501	124	16025
19502	120	2111
5873	95	19004
14155	115	22468
10197	53	26994
14645	118	2515
3150	84	794
12011	70	25481
22785	28	3065
27422	85	15249
16600	33	24275
26469	120	2111
12659	16	11124
23943	54	11136
22921	20	7771
18029	70	27775
11333	120	2111
15481	25	5090
26576	115	22468
22857	27	11842
16687	16	11124
12566	127	24932
19641	93	24502
5018	120	2111
400	95	8584
10144	49	16893
178	39	12827
13414	39	24208
3269	119	22524
13503	5	9521
13045	121	24232
17617	85	16893
12489	90	13667
6786	58	2111
26167	106	24185
9105	25	16134
7543	70	7367
19706	3	3817
11622	115	22468
2419	85	19536
2224	33	24275
4896	53	13667
12708	109	26871
24410	65	18656
27213	7	24375
14299	102	2111
21904	117	5163
983	16	8284
25940	13	17930
2505	70	17577
7218	16	11124
22983	27	23542
22389	46	6642
6985	25	20969
16817	124	2393
16177	93	24502
27205	120	2111
21142	70	21317
3964	120	2111
80	3	19631
15354	66	5047
26297	130	3610
14089	25	8866
9827	85	11214
6730	62	15672
8994	2	23982
17560	28	7843
1548	16	11124
23347	119	27535
17530	28	19371
6716	5	20004
1657	33	24275
23960	3	11214
13344	118	5171
16541	33	24275
6988	25	18597
6028	51	20747
6095	23	2111
15701	118	3464
11524	102	2111
15738	62	17106
4804	120	17868
2059	31	21268
294	124	8198
16187	25	101
8306	58	2111
16676	93	26716
7134	66	1091
11364	95	11993
25809	115	22468
8882	115	22468
10946	108	17247
27819	33	24275
21957	90	21366
3235	129	9326
12869	83	19811
13568	64	612
13215	62	22732
22831	86	23835
16523	27	2327
21947	45	21556
17550	48	12456
22602	54	20059
8563	16	11124
14544	103	3709
9634	62	19303
22458	9	22468
7965	3	23029
11293	61	16823
2164	103	3709
5893	16	11124
21241	33	22942
9406	118	3464
8560	110	17270
14091	95	1147
16046	120	2111
4725	117	5163
1601	115	22468
20722	33	24275
16977	118	3464
4866	61	27775
17795	102	2111
5570	35	17996
18454	39	24208
20933	115	22468
12638	88	8452
18714	6	14953
8383	58	18234
10179	7	11457
1888	120	17868
13215	88	24672
20776	70	16823
1837	33	24275
10526	36	26516
19431	58	2111
12938	45	8296
26021	33	24275
9456	39	24208
22920	7	24375
14284	131	22126
1412	62	2393
26547	87	26626
22969	70	27775
15850	31	27668
27001	4	18767
21228	5	20004
7275	115	22468
24901	119	23012
2199	115	22468
5465	28	6104
8431	25	101
17414	120	2111
18727	103	3709
24163	129	12456
3439	62	19303
5005	127	25846
27781	53	1559
4778	115	22468
17808	124	18090
14140	62	19303
24828	115	22468
11995	3	15249
14674	23	7098
5381	53	11993
7649	107	26390
1565	121	24232
1725	5	20004
12619	53	11195
8709	28	2815
11213	115	22468
15742	93	21023
320	39	23370
9006	114	20161
19481	2	23982
18487	120	2111
12447	28	6542
23377	115	22468
15586	61	27775
11662	5	9521
2099	5	6548
5513	48	93
12354	124	8198
13028	53	21366
16966	5	9521
25804	37	12827
26258	124	2393
5982	117	5163
23771	16	11124
908	118	3464
16230	5	6548
21547	54	7477
25224	124	2393
19388	27	13143
10872	16	11124
14220	7	588
15323	126	18478
10003	61	27775
318	89	11546
21337	3	11214
5911	27	8230
9099	126	14138
858	83	5163
12330	115	22468
27734	62	12259
24703	16	11124
20910	118	13868
27540	62	25328
19554	36	11195
15378	33	24275
20942	3	11214
7648	129	23070
15812	121	24232
23463	53	8002
4053	115	22468
26271	28	15260
17030	27	12925
16320	23	20452
21301	62	7176
2568	16	6793
20653	16	11124
1053	83	19811
8419	62	8198
25166	7	24375
10245	95	1147
7719	85	15249
23368	58	21268
3633	5	20004
16409	115	22468
21786	128	7299
6203	53	11993
11386	115	22468
1290	124	19303
27730	124	25328
12516	33	24275
4955	119	23012
15389	49	15249
16974	119	8529
1629	129	5171
22836	95	8584
12163	135	22468
3306	124	2393
18783	39	24208
16731	27	12925
12123	5	9521
18080	106	24185
26404	93	24502
7279	33	24275
12113	127	25846
9273	63	6428
587	25	14579
21344	95	5970
9431	106	24185
25005	108	17247
20116	62	2856
207	33	17785
3124	61	16823
24769	115	22468
6096	95	24370
9566	16	11124
1451	62	15881
5862	95	16913
25143	20	25779
18116	88	8452
8956	70	17487
5994	115	22468
1879	124	2393
15937	70	16823
1223	118	3464
8144	33	24275
22346	49	3817
9896	109	26871
7189	58	2111
11218	106	24185
11846	93	21023
16431	117	5163
24342	4	18767
13155	28	5490
24735	23	13996
7415	93	24502
26431	5	20004
3088	5	6548
25009	119	23012
10259	94	9757
9094	16	6793
9307	36	10621
22768	31	21268
20027	88	8452
9651	74	18823
11259	33	24275
10082	5	9521
22690	62	14
26116	62	8198
247	70	21973
5409	120	2111
17138	62	22718
1562	119	23012
9785	23	7098
17150	23	5855
10169	53	21366
12222	119	15302
3901	30	13667
9245	115	22468
1342	36	26516
24031	58	2848
6225	135	22468
12190	118	3464
9542	39	24208
7155	65	26333
17723	53	11993
9121	124	2393
26770	3	11214
5444	83	19811
8833	36	26410
9718	92	13288
20023	109	26871
5415	70	13394
20231	108	17247
22631	36	12456
27491	31	21268
5886	109	27082
19494	16	11124
5831	115	22468
22830	107	15480
10947	83	19811
17202	16	12413
27685	33	24275
16907	124	24430
9493	70	4176
26395	120	2111
13187	20	10428
13733	102	14678
14779	33	24275
2649	115	22468
16929	116	23845
8271	124	16025
26791	62	2856
12937	66	27824
1122	78	13868
22254	97	7678
10031	102	2111
2420	119	27535
12946	116	23845
14069	124	19303
5119	33	24275
9657	110	19811
6082	115	22468
5020	85	16893
4213	83	5163
15292	118	3464
15761	102	26827
1486	120	2111
15287	53	1559
22856	61	27775
25635	25	23150
19620	70	11651
9772	115	22468
21292	101	18882
12694	118	14949
13743	25	22176
13054	36	11195
3449	51	20747
9334	129	12885
14586	70	27777
13386	53	21366
462	53	11993
23887	23	5855
18702	23	2111
9745	3	15249
26951	68	9150
15517	119	23012
19716	110	13620
14855	49	3817
27056	106	22468
19981	115	22468
21060	33	24275
7254	7	24375
18780	83	21125
27684	62	2393
20513	5	20004
27479	103	3709
26269	95	13667
13051	3	16893
6047	85	11214
13726	93	21023
26604	62	19303
22766	37	12827
22396	6	14953
6324	118	26516
25792	115	22468
13269	132	11299
13739	124	23311
17108	88	8452
6573	33	24275
14053	70	23982
13239	25	27044
5173	53	11195
1676	62	13868
23585	3	11214
26101	58	2111
7637	70	12765
26102	83	7572
8238	85	11214
11648	36	2745
9930	115	22468
11287	129	14170
12151	119	21269
25671	62	25328
13586	59	11993
21506	33	17785
13494	16	11124
19102	71	2111
14317	48	12514
17003	102	2111
21481	16	11124
10702	33	24275
536	115	22468
23632	53	3989
21529	124	24430
12378	120	2111
18416	70	25481
22696	120	12461
6117	36	12456
8771	33	24275
26595	117	19005
21047	71	2111
18282	70	27775
14745	4	18767
7518	121	7091
27651	84	794
10351	85	16893
24765	3	15249
27769	25	13359
855	6	13394
16083	131	11195
27617	118	5998
16974	70	25152
20965	118	23748
7984	119	10246
12450	3	23029
3997	61	16535
23529	7	19292
3651	115	22468
17190	5	6548
12067	53	9381
23686	64	2217
4471	106	24185
5628	7	24375
1411	90	11993
21069	127	10882
18062	85	11214
5788	53	2846
104	120	2111
12755	25	101
9369	5	19835
17663	28	19253
24021	97	11993
7865	121	24232
18624	31	21268
11520	62	7106
18625	53	5962
22880	109	6153
9395	3	7567
8417	122	17980
2582	28	27580
18337	33	24275
26604	27	19990
10425	120	2111
24626	129	12456
17412	36	19811
14810	50	9313
5859	45	16201
6628	53	18888
26258	25	2526
12706	16	4912
19931	16	18543
8241	62	11962
4907	33	24275
10356	54	9320
15862	27	12925
6493	25	5197
13642	33	24275
14229	109	26871
22823	115	22468
23967	25	26970
25358	13	14762
18016	25	20969
19236	118	12456
12917	108	17247
8641	115	22468
12631	93	21023
27497	3	15249
24898	27	26549
27252	6	14953
9918	58	22755
20052	70	1227
18006	70	27777
18046	31	21268
19542	88	16707
11622	93	24502
17745	27	19934
19420	16	11124
27351	33	24275
21897	27	2327
27115	33	24275
13229	70	5163
20616	27	16249
22285	58	22755
9070	30	20747
21756	84	12235
18308	31	21268
579	51	11697
14329	16	11124
3290	49	15249
1688	65	18656
19386	4	18767
6421	5	6548
12896	53	10866
20351	58	2111
17509	118	3464
17571	3	4954
11427	66	23866
22323	115	22468
6393	16	11124
8184	106	24185
27586	16	11124
27786	102	7098
9600	62	16025
17091	33	24275
17963	2	21917
17599	58	21268
3530	106	24185
16541	49	16893
18223	106	24185
21185	115	22468
5161	27	12925
4915	16	11124
737	5	19835
14658	62	15672
14958	5	9521
27038	110	24762
20820	85	11214
9930	78	5171
22089	3	16893
983	49	15249
23731	124	10229
18297	31	21268
3608	83	27389
8961	53	11993
1122	33	24275
3415	27	13143
21487	7	19292
17735	16	12413
5223	70	16823
8346	120	2111
24160	3	23029
23606	120	2811
26445	118	2515
13821	53	7678
13109	33	24275
18971	27	25961
20347	115	22468
13613	30	11993
7246	16	11124
24833	33	24275
20069	95	13667
11602	33	24275
5461	115	22468
7955	36	1730
2767	120	2111
9144	119	23012
546	36	11195
15690	53	21366
7847	37	12827
7738	77	1943
14332	3	23029
27513	33	24275
24613	23	5855
19823	6	14953
8594	62	25328
7804	120	2111
9132	120	12461
14577	120	2111
22344	16	26347
14165	70	7367
22897	25	2526
4346	4	18767
4154	118	3464
20509	3	11214
3551	51	20747
27092	118	3464
25386	85	15249
2333	77	1943
22899	93	21023
7851	108	17247
334	102	7098
3249	88	8452
10789	3	20161
20144	129	26410
16911	90	21366
11930	103	3709
25879	53	26994
14669	16	7292
11245	62	18090
5155	36	5171
4602	71	2111
4572	16	11124
3249	118	3464
16924	25	17746
24550	5	20004
9897	33	24275
7937	2	26827
13027	95	21366
5358	120	12461
16498	25	11989
17515	33	24275
6859	118	5171
8155	53	2846
1696	23	5855
21921	16	11124
1125	25	21817
20562	115	22468
19566	70	7367
4760	27	17144
8148	110	13620
21391	5	9521
20459	53	21366
26531	4	18767
21055	7	8152
14557	5	9521
17744	62	15672
23084	53	8002
17957	33	24275
24223	23	26827
12986	108	3986
1268	7	18189
12067	62	18090
18212	39	12827
8114	115	22468
2904	3	11214
3512	118	2515
24444	5	19835
17334	58	21268
10769	115	22468
9532	124	5183
13919	72	13307
526	5	9521
23112	115	22468
27521	25	2526
5812	53	9381
15244	116	24185
22835	124	15672
7464	53	11993
14851	53	21366
26529	53	3617
4144	121	24232
5312	119	23012
27168	48	26516
906	5	9521
14285	25	14737
2462	11	22468
12611	132	1510
20539	124	2393
27382	54	7256
22830	119	23012
23556	131	22126
376	71	2111
21371	36	17880
24308	5	6548
14717	33	24275
21284	124	2393
8090	62	11531
10546	62	14
6774	119	23012
16691	124	13868
26930	5	6548
7387	62	2393
9161	93	25016
7684	70	11651
23746	16	8284
8278	119	26701
24351	129	21958
1180	70	1227
344	53	21366
25423	39	24208
25464	115	22468
4918	16	11124
3728	20	3709
8840	58	2111
13304	33	24275
17934	25	101
3576	53	7678
16546	36	22129
15403	58	2111
16686	39	24208
25300	115	22468
27120	62	19303
23335	115	22468
11573	61	9748
24308	103	3709
17002	103	3709
26710	129	3464
7078	120	2111
6404	4	18767
10923	16	11124
11492	85	16893
16312	108	3986
23914	70	1227
8114	39	24208
14898	119	23012
4644	76	22468
1285	16	432
22624	120	17868
64	53	21366
13162	124	16772
10535	107	26390
1065	115	22468
4917	115	22468
8907	16	11124
9955	5	20004
7767	25	5469
14479	16	11124
18365	5	20004
16458	16	11124
2650	3	11214
3137	115	22468
21462	115	22468
23481	118	17880
2529	120	2111
23734	118	3464
3727	85	16893
9244	83	19811
20464	31	21268
16194	102	7098
22905	50	20050
10745	28	2595
12317	119	23012
18851	36	5998
22768	117	5163
26164	53	21366
23500	25	10166
6110	124	22718
15545	61	27775
1326	118	3464
8144	62	15672
10683	85	15249
19635	62	15672
18770	16	11124
5969	115	22468
21368	39	23370
17313	62	2393
16120	45	11862
14111	16	11124
8434	70	17970
19897	85	15249
12300	30	11993
7498	80	21366
25984	117	5163
724	108	17247
1080	62	8198
21371	109	4418
9960	49	16893
14598	120	12461
12447	28	5864
27144	83	5163
20358	120	2111
14939	124	8198
18713	7	24375
14937	93	24502
5022	3	5145
18987	25	27044
11777	48	19811
18146	25	27044
16765	5	20004
7767	69	23625
26409	39	12827
5649	93	21023
14923	16	11124
20486	28	3561
15517	16	11124
10078	62	5865
16922	36	17472
13706	33	24275
16065	36	11195
3985	70	15428
19630	35	17996
14186	62	2393
23469	30	8002
17855	3	15249
23451	93	21023
13009	58	2848
27891	70	5366
24645	5	6548
6761	53	6270
6432	3	15249
13803	3	11214
906	72	13307
17227	31	1554
13362	33	22446
19393	27	23542
9517	124	2393
26638	115	22468
25105	27	2327
3312	70	21973
6849	7	7380
449	33	24275
22406	5	19835
16677	62	12791
17215	70	27775
27021	7	20161
1249	120	2111
22950	5	6548
23563	4	18767
26405	106	24185
21309	23	7098
24969	115	22468
6655	66	1091
12468	118	1632
1179	33	24275
25158	119	15302
89	11	22468
14143	71	2111
27465	115	22468
5645	124	16025
8894	83	19811
16261	115	22468
22171	39	12827
23272	33	24275
15836	83	5163
12417	61	27775
15607	39	24208
4349	53	21366
22453	33	24275
10438	58	2111
22685	70	16823
16143	107	13620
22690	3	6566
24487	93	24502
22375	128	13667
11838	77	1943
4793	2	21317
18241	62	20640
15825	48	17880
17416	102	26827
22785	70	16335
7590	115	22468
1852	69	1700
25117	58	2111
8784	25	27044
2125	36	5171
3395	25	7371
22185	85	11214
3213	62	12791
3663	129	2846
3554	70	27775
12303	5	6548
4333	62	10229
17338	70	27775
8372	119	512
25696	36	397
4986	16	11124
11339	30	11993
24498	70	7367
22698	22	24125
8125	15	22614
24986	129	12456
3369	116	24185
7301	95	11195
9994	48	2846
1914	33	22942
7104	33	11202
16303	3	13735
13964	16	11124
5915	62	2393
16579	51	20747
18364	61	5307
22298	25	5252
15754	115	22468
1670	115	22468
18191	118	2515
13493	16	11124
11324	115	22468
18739	70	7367
24291	53	2897
2058	53	5498
5795	33	24275
19045	6	13394
24260	115	22468
6133	118	3464
14692	62	24430
17654	62	1755
5219	62	15672
5486	3	11214
8117	118	3464
1837	93	21023
27649	53	26994
822	115	22468
2236	36	3464
19168	85	16893
26902	124	5183
4091	28	17214
14056	39	24208
20979	103	3709
2257	53	1559
19752	53	24370
18265	118	3464
6412	49	16893
15883	93	3788
9685	5	20004
18251	117	5163
3517	39	24208
2505	71	2111
15552	88	8452
26498	109	25644
16853	118	3464
900	124	2393
18713	102	26827
401	93	24502
24265	115	22468
1277	124	24430
5540	3	1233
4164	7	7380
26675	53	11993
5565	118	3464
15620	115	22468
17663	28	3783
19956	115	22468
4941	115	22468
1116	61	27775
262	131	23051
17184	88	8452
12343	70	7367
18494	30	11993
9227	33	24275
18301	119	23012
13389	124	15672
5080	62	20640
10730	70	5163
24686	103	3709
20300	69	1700
25066	95	21366
1007	25	101
4454	124	22718
8877	88	8452
7306	62	8267
1860	39	24208
10301	93	3788
16582	90	786
19665	33	24275
19603	61	27775
24383	53	21366
27587	5	19835
22947	85	23029
20488	106	24185
2475	49	16893
11258	16	11124
5531	103	3709
11526	108	17247
10918	19	18240
8913	33	24275
9782	78	7213
9783	83	13907
24635	118	3464
22294	48	4184
18695	20	27234
14020	115	22468
19779	103	3709
6181	62	2393
13676	118	3464
8959	120	2111
19375	83	19811
1729	62	2393
7692	28	12493
22636	70	13394
16013	71	2111
6184	70	21113
2457	124	2393
10787	49	15249
14245	106	24185
4985	124	16025
13102	5	20004
0	94	19427
24495	93	26716
14472	95	8755
25531	49	16893
3583	126	24539
24391	83	27389
16203	53	14274
15351	115	22468
18450	120	20931
5567	53	24370
16318	118	14949
16549	118	5998
8101	124	23311
23375	118	3464
24404	62	15672
12077	15	16447
19373	119	23012
5967	25	27044
22049	70	10888
8740	39	12827
8227	36	3464
6896	5	9521
7526	23	26827
7131	62	2393
1075	33	24275
1050	118	3464
14075	5	6548
13818	67	13667
6400	74	18823
19448	4	18767
960	70	27775
1002	31	21268
19692	28	27282
5534	58	2111
14566	117	5163
20365	5	20004
24522	97	25913
1864	7	24375
26193	53	18768
15739	124	2393
21370	71	2111
23876	120	2111
9256	33	22942
19420	4	18767
13825	39	12827
18940	33	24275
312	120	2111
25475	120	2111
13510	53	11993
23180	12	19835
24925	103	3709
25316	109	26871
9828	115	22468
14178	53	21366
12118	93	26716
9680	3	24585
26595	70	7367
10946	4	18767
1428	5	11124
21538	25	13359
19973	93	24502
5665	3	11214
18423	85	11214
16243	64	27339
2669	62	20640
9636	103	3709
481	120	2111
5582	48	12456
4457	84	27253
20956	85	16893
20778	36	397
2626	102	7098
15470	36	9444
10474	70	13394
26597	103	3709
17049	106	24185
8567	28	25478
8067	129	397
203	39	12827
2656	62	1552
12967	4	18767
631	39	845
3115	115	22468
17954	3	16893
11351	71	2111
18490	93	24502
18507	53	11993
20808	36	3464
23823	70	13394
3358	115	22468
2791	115	22468
21692	23	5855
26124	115	22468
5777	120	2111
17809	53	8002
14169	70	13249
9033	88	11019
5002	25	1367
12481	124	15672
8016	3	5145
23601	49	15249
23225	71	2111
24368	115	22468
2285	70	7367
15550	5	6548
27743	108	17247
7888	119	23012
22102	71	2111
16529	16	11124
18991	33	24275
25257	101	16816
8241	25	23150
5652	53	21225
3519	121	24232
7459	16	11124
6225	33	24275
876	53	7678
19180	88	8452
2575	120	2111
11200	71	2111
13839	33	17785
12009	93	21023
19794	85	16893
6405	83	19811
3424	103	3709
2050	93	3788
25029	48	4184
8311	36	22126
6250	31	10721
2297	33	24275
18408	5	20004
18787	28	8948
7271	5	6548
7240	31	27668
26040	33	24275
3511	115	22468
20742	5	9521
26424	33	24275
15758	124	15672
17260	124	2393
8033	62	19303
1117	129	12456
5790	95	8755
25930	93	21023
192	90	21366
959	5	9521
12408	119	23012
17931	115	22468
15393	118	12456
26532	108	17247
18772	3	11214
25280	23	7098
10086	106	22468
21477	109	26871
12072	77	1943
13318	62	19303
10071	117	5163
23910	53	7678
2091	131	1186
26629	53	11993
23830	3	23029
12576	103	3709
3921	39	12827
27683	72	23240
26709	49	16893
6811	36	12561
23171	36	7139
12832	119	15302
10014	33	17785
19431	39	8593
16394	62	8198
14402	3	23029
4644	118	12456
6119	33	24275
9070	53	21366
1712	92	9162
21053	27	132
16639	36	12456
17621	118	2515
595	94	6055
23623	70	14953
4698	33	24275
24256	39	12827
24872	62	2393
18765	33	24275
14815	62	20640
24251	5	6548
15270	70	16823
501	107	3281
11622	62	776
24904	25	72
9623	62	11962
15689	48	17880
13446	33	24275
26287	36	4184
21844	117	5163
8058	102	2111
21230	85	11214
2312	5	19835
8857	120	2111
21926	124	2393
12870	124	2393
19481	7	24375
18691	103	3709
97	132	1780
1799	120	2111
12820	124	19303
4720	23	26827
4167	62	2393
22066	108	611
13812	12	6548
26949	118	3464
21135	95	6270
2456	6	13394
22483	77	1943
408	28	25864
25441	36	9444
8015	95	25913
12457	16	11124
14724	53	13667
10841	95	12214
4173	116	24185
16887	61	10033
23931	23	26827
24839	119	15302
20367	118	3464
21599	35	17996
23904	33	24275
14510	108	17247
1835	131	12456
10197	124	2393
24444	115	22468
6591	27	13143
8343	62	15881
21122	95	19004
5483	107	15480
7668	5	20004
15931	106	24185
8217	23	26827
13417	39	24208
21801	27	13143
12798	70	12327
7963	70	13249
20110	23	2111
7740	37	12827
1471	45	12145
18734	28	79
27195	33	24275
11718	102	26827
10444	53	2846
2123	70	21973
19403	58	2111
12618	70	27775
21176	119	21079
18365	119	23012
3359	5	6548
8680	45	23883
4725	58	2111
9858	80	1648
11038	95	5498
6586	124	23311
4391	6	14953
18806	16	11124
13652	93	24502
5093	118	3464
22047	62	3628
16726	49	15249
22671	93	21023
215	70	5163
9683	70	16335
3823	128	3729
12018	28	1661
7474	85	15249
354	16	7292
27894	3	15249
2127	5	20004
16344	27	16818
5585	95	5748
3697	36	5171
4539	25	8418
12706	33	24275
27903	16	11124
5345	124	2393
3852	19	8758
4090	25	5090
17909	120	2111
11022	101	8973
15829	6	6682
22093	95	11195
10189	115	22468
17537	35	17996
2592	5	9521
14164	115	22468
13496	115	22468
22350	124	4357
27005	48	23478
16924	115	22468
1206	110	13620
26923	33	24275
13262	115	22468
13301	90	19175
636	70	1227
0	62	19303
26113	95	2412
27611	115	22468
20076	115	22468
11817	33	24275
13693	83	5163
25280	102	7098
6471	33	24275
6209	4	18767
2961	124	2393
27540	124	16025
27342	109	161
23205	53	21366
4116	4	18767
7699	115	22468
3706	33	24275
25502	70	9416
16401	48	17880
26166	4	18767
14473	120	2111
7774	119	23012
24422	109	26871
1079	118	8438
8555	90	21366
24007	129	26410
27024	85	11214
23632	37	12827
21379	39	24208
3308	45	23439
19402	115	22468
25470	58	2111
23420	78	10621
21952	135	22468
7995	3	553
19421	70	21973
4239	27	16823
3150	70	27775
26720	85	4096
437	16	11124
9377	71	2111
21298	53	865
22461	112	26366
4448	118	3464
9578	120	2111
5880	36	22843
5489	115	22468
9142	95	8584
16151	95	19004
27883	120	2111
27278	5	6548
9962	93	21023
27719	49	15249
1585	93	24502
1312	6	14953
14186	108	17247
22712	23	5855
27038	115	22468
27149	124	16025
8093	120	12461
2470	102	7098
23505	124	15672
26522	58	2111
13765	5	20004
17765	70	15428
22984	115	22468
22418	53	7678
21979	48	93
7024	103	3709
13891	100	15249
1667	58	20379
6367	4	18767
18163	128	13667
5849	95	8584
1069	39	12827
24809	46	17996
23837	62	11962
8312	70	7367
16043	5	20004
9154	109	26871
204	33	24275
21969	77	3368
6627	25	23898
6658	106	22468
17024	108	17247
17332	119	23012
8126	3	15249
620	108	3986
66	70	5930
5120	5	6548
11236	83	5163
14582	62	2393
3699	53	16382
25806	62	2393
26662	85	16893
4220	33	24275
20705	70	21556
11951	16	11124
25113	49	15249
14510	33	24275
1155	103	3709
2421	5	20004
25264	93	21023
17313	119	15302
9130	16	15882
24319	129	26827
18313	119	23012
14218	115	22468
15340	5	19835
889	115	22468
15447	124	2393
8594	62	23311
15537	124	15672
27590	46	8696
3099	62	24430
18016	16	11124
8946	117	19005
14784	88	8452
7472	53	13667
3543	3	11224
661	3	15249
16801	25	2526
7341	109	26871
24532	16	11124
5207	23	5855
16525	83	8887
13962	115	22468
2292	62	24430
4198	93	24502
16757	39	12827
18294	61	27775
3278	83	5163
22277	3	11214
14123	115	22468
8218	3	8655
7545	45	24501
1354	129	5171
20361	72	13307
22315	33	24275
16517	16	11124
24663	77	13789
16992	70	12765
19743	3	23029
17182	120	2111
2767	36	4184
14824	23	13996
18041	106	24185
354	119	23012
20514	74	18823
14062	16	11124
17157	58	21268
7294	115	22468
12068	115	22468
11245	99	10657
25493	62	19303
11517	93	24502
24345	3	13735
23759	48	12456
25849	66	5047
11585	77	1943
23270	71	2111
13119	102	5855
8580	62	8198
18267	115	22468
20494	62	15672
18896	33	24275
15741	33	24275
27692	31	21268
7872	66	4912
2904	124	8198
12418	13	2260
